vessel_imo,mmsi,start_date,end_date
9259733,413018000,2012-03-22 20:59:31+00:00,2022-05-27 08:50:29+00:00
9259745,413089000,2012-01-14 09:43:25+00:00,2022-09-06 03:06:44+00:00
9259991,215870000,2012-01-08 06:03:14+00:00,2023-03-12 08:45:05+00:00
9260275,374124000,2015-10-22 08:25:08+00:00,2024-08-13 02:46:27+00:00
9260823,667002321,2024-07-14 07:43:28+00:00,2024-08-31 06:32:42+00:00
9261401,215871000,2012-01-01 10:22:15+00:00,2023-03-10 09:40:45+00:00
9261657,477669300,2016-08-03 04:17:29+00:00,2024-01-03 15:29:37+00:00
9262170,273430250,2019-02-19 08:07:41+00:00,2024-08-31 02:14:36+00:00
9262924,229152000,2012-07-04 02:06:24+00:00,2021-01-06 14:25:23+00:00
9263186,565969000,2014-12-21 22:31:02+00:00,2022-07-29 03:48:04+00:00
9263198,565972000,2014-12-18 13:08:32+00:00,2022-08-05 01:49:02+00:00
9263203,565975000,2014-12-29 02:40:17+00:00,2022-07-29 10:34:18+00:00
9263643,355188000,2018-04-09 07:18:12+00:00,2019-11-11 23:25:16+00:00
9264570,636016717,2014-11-04 05:27:45+00:00,2020-06-20 02:33:39+00:00
9265756,538010082,2022-08-19 14:55:29+00:00,2023-11-29 10:35:00+00:00
9265873,538002281,2017-04-03 18:56:26+00:00,2018-04-25 13:31:31+00:00
9265885,636018287,2017-11-09 14:20:07+00:00,2023-02-23 08:54:20+00:00
9266475,538005918,2014-09-04 09:38:26+00:00,2018-10-14 10:57:44+00:00
9266750,636012393,2016-02-13 06:14:31+00:00,2019-01-19 06:55:43+00:00
9266762,636012588,2013-04-23 05:06:48+00:00,2018-11-09 04:08:26+00:00
9266853,538006844,2016-02-23 03:29:20+00:00,2024-03-29 02:27:55+00:00
9268112,636017406,2016-03-16 06:43:58+00:00,2022-03-17 12:57:35+00:00
9269257,565134000,2014-07-22 10:06:52+00:00,2022-07-11 09:41:58+00:00
9269350,273423570,2012-08-24 09:26:43+00:00,2024-08-06 13:31:05+00:00
9269403,247084400,2012-03-05 14:56:46+00:00,2022-07-18 06:21:25+00:00
9270517,636011913,2012-01-02 12:58:07+00:00,2021-11-12 03:39:54+00:00
9270529,626364000,2024-01-21 06:21:41+00:00,2024-01-21 07:34:36+00:00
9270749,419000843,2013-08-19 07:51:29+00:00,2024-01-30 07:15:07+00:00
9271327,636091121,2012-01-03 03:25:18+00:00,2022-06-01 05:50:53+00:00
9271573,255740000,2012-01-01 00:04:51+00:00,2022-07-21 07:23:43+00:00
9271585,636015581,2013-10-12 11:55:02+00:00,2023-01-13 02:18:33+00:00
9271951,538004102,2012-01-06 03:14:51+00:00,2019-02-20 00:29:26+00:00
9272931,372443000,2017-03-16 15:07:13+00:00,2023-02-11 09:02:55+00:00
9273052,372919000,2020-12-29 14:19:40+00:00,2021-03-20 04:54:20+00:00
