vessel_imo,start,end,duration_hrs,lat_off,lon_off,lat_on,lon_on
9264570,2023-08-13 11:38:07.000000,2023-08-13 23:51:12.000000,12.216666666666667,12.114116666666666,45.9183,12.893083333333333,48.42678333333333
9268112,2024-07-22 20:17:07.000000,2024-07-24 09:03:42.000000,36.766666666666666,12.552288333333333,46.92189,15.833556666666667,41.27227833333333
9268112,2023-04-15 13:26:47.000000,2023-04-16 04:22:09.000000,14.916666666666666,6.4112833333333334,91.7985,6.5567,94.61143333333334
9271327,2023-04-25 14:23:44.000000,2023-04-26 10:36:33.000000,20.2,12.346583333333333,73.8314,12.455033333333333,73.77936666666666
9271327,2024-03-24 13:23:37.000000,2024-03-25 12:58:32.000000,23.566666666666666,12.849916666666667,48.22886666666667,14.4011,53.147466666666666
9271573,2022-04-08 10:59:11.000000,2022-04-09 02:32:29.000000,15.55,-18.564091666666666,58.569325,-20.623153333333335,55.52970666666667
9271573,2022-09-28 11:27:54.000000,2022-09-29 00:29:58.000000,13.033333333333333,4.564706666666667,4.6343733333333335,4.565926666666667,4.63301
9271573,2024-09-16 15:30:38.000000,2024-09-17 14:01:38.000000,22.516666666666666,23.081465,37.311348333333335,27.182661666666668,34.66833833333333
9271585,2022-07-14 21:57:04.213531,2022-07-17 23:22:38.730000,73.41666666666667,14.703516666666667,60.468466666666664,25.08945,56.63106666666667
9271585,2023-11-26 00:36:01.000000,2023-12-31 00:30:10.000000,839.9,13.829933333333333,58.43615,11.636666666666667,64.27333333333333
9272931,2022-04-20 21:02:33.000000,2022-04-22 05:26:32.620000,32.38333333333333,21.869508333333332,-96.37295833333333,24.197806666666665,-95.14210666666666
9272931,2023-06-15 13:01:22.000000,2023-06-18 13:22:01.000000,72.33333333333333,3.507175,-0.4819983333333333,6.506823333333333,-14.35309
9272931,2023-05-11 12:05:12.000000,2023-05-14 05:10:19.000000,65.08333333333333,4.04049,-10.428273333333333,5.467383333333333,1.22258
9273442,2022-04-14 21:31:30.000000,2022-04-16 17:36:54.000000,44.083333333333336,28.450316666666666,-94.41235,29.259116666666667,-94.52525
9274800,2022-12-06 16:42:41.000000,2022-12-15 12:12:03.000000,211.48333333333332,40.978100000000005,-54.472883333333336,59.24518333333334,-1.5330833333333334
9275995,2022-05-07 05:00:18.000000,2022-05-07 18:11:13.370000,13.166666666666666,17.104883333333333,91.99838333333334,14.6362,93.39373333333333
9277747,2023-08-18 05:55:11.000000,2023-09-04 14:09:46.000000,416.23333333333335,19.657611666666668,66.32387666666666,25.660866666666667,56.932813333333335
9277759,2024-08-14 20:30:25.000000,2024-08-15 20:26:01.000000,23.916666666666668,18.230221666666665,39.63245666666667,21.403665,39.07571166666666
9277773,2023-09-13 05:54:14.000000,2023-09-15 10:44:25.000000,52.833333333333336,11.188746666666667,66.305255,13.840328333333334,56.315443333333334
9278064,2023-09-26 03:24:18.000000,2023-09-29 11:50:23.000000,80.43333333333334,31.464866666666666,-10.922433333333334,16.876116666666668,-21.438
9281891,2022-06-15 18:39:10.000000,2022-06-26 19:52:26.310000,265.21666666666664,37.68768,-22.3738,44.8941,-21.578266666666668
9282479,2022-08-19 22:34:22.779232,2022-08-25 16:46:03.000000,138.18333333333334,41.579116666666664,-18.23592,34.366886666666666,-17.751978333333334
