vessel_imo,flag,start_date,end_date
9236353,Marshall Islands,2004-08-01,2007-10-01
9236353,Bahamas,2007-10-01,2020-02-01
9236353,Liberia,2020-02-01,2020-06-01
9236353,Cyprus,2020-06-01,2021-03-01
9236353,Palau (Republic of),2021-03-01,2021-03-01
9236353,Djibouti,2021-03-01,2021-09-01
9236353,Not Known,2021-09-01,2021-11-01
9236353,Palau (Republic of),2021-11-01,2022-09-01
9236353,Liberia,2022-09-01,2024-02-01
9236353,Antigua and Barbuda,2024-02-01,
9236640,Greece,2002-01-01,2014-12-01
9236640,Malta,2014-12-01,2022-08-01
9236640,Liberia,2022-08-01,2024-02-01
9236640,Gabon,2024-02-01,
9236743,Marshall Islands,2001-01-01,2001-10-01
9236743,Malta,2001-10-01,2019-10-01
9236743,Russia,2019-10-01,
9236755,Marshall Islands,2002-01-01,2002-03-01
9236755,Malta,2002-03-01,2022-01-01
9236755,Palau (Republic of),2022-01-01,
9237228,Isle of Man,2002-01-01,2002-01-01
9237228,Liberia,2002-01-01,2012-01-01
9237228,Marshall Islands,2012-01-01,2019-12-01
9237228,Panama,2019-12-01,2024-02-01
9237228,Comoros,2024-02-01,
9237412,India,2003-01-01,2023-07-01
9237412,Panama,2023-07-01,2024-07-01
9237412,Gabon,2024-07-01,
9239642,Qatar,2002-01-01,2007-02-01
9239642,Vietnam,2007-02-01,2024-02-01
9239642,Antigua and Barbuda,2024-02-01,
9240407,Kuwait,2003-01-01,2012-01-01
9240407,Panama,2012-01-01,
9240885,Denmark (DIS),2002-01-01,2014-06-01
9240885,Marshall Islands,2014-06-01,2016-01-01
9240885,Singapore,2016-01-01,2020-08-01
9240885,"Hong Kong, China",2020-08-01,
9242118,Malta,2003-06-01,2006-07-01
9242118,Liberia,2006-07-01,2006-07-01
9242118,Germany,2006-07-01,2018-07-01
9242118,Marshall Islands,2018-07-01,2018-07-01
9242118,Germany,2018-07-01,2020-09-01
9242118,Panama,2020-09-01,2020-10-01
9242118,Malaysia,2020-10-01,
9242120,Malta,2003-08-01,2006-08-01
9242120,Liberia,2006-08-01,2006-08-01
9242120,Germany,2006-08-01,2018-05-01
9242120,Marshall Islands,2018-05-01,2018-05-01
9242120,Germany,2018-05-01,2020-02-01
